topic,FREX,BETA,GAMMA
52,"ean, profissionais, gestores, educacao_alimentar_nutricional, aprendizagem, nutricionista, nutricionistas, aps, atencao_primaria_saude, cuidado","acoes, saude, profissionais, nutricao, sobre, estudo, formacao, nutricionistas, alimentacao, analise",0.033418571737676005
56,"sintomas_depressivos, has, depressao, alcool, sintomas_ansiedade, tmc, escolaridade, obesidade_abdominal, fatores_associados, tabagismo","prevalencia, associacao, mulheres, anos, maior, variaveis, individuos, depressao, idade, saude",0.030582429888136253
2,"adolescentes, meninas, excesso_peso, meninos, escolares, adolescencia, escolas_publicas, escola, adolescente, criancas_adolescentes","adolescentes, excesso_peso, anos, escolares, idade, obesidade, prevalencia, estado_nutricional, imc, sobrepeso",0.03020571221777989
12,"padroes_alimentares, aup, ultraprocessados, padrao_alimentar, consumo_alimentos, processados, doces, refrigerantes, alimentos_ultraprocessados, alimentos_in_natura","consumo, alimentos, consumo_alimentar, consumo_alimentos, ultraprocessados, padrao, maior, padroes_alimentares, processados, associacao",0.030066280685425644
31,"risco_cardiovascular, sindrome_metabolica, hdl_c, ldl_c, pressao_arterial, colesterol_total, dcv, triglicerideos, homa_ir, hdl","pressao_arterial, colesterol_total, triglicerideos, risco, perfil_lipidico, sindrome_metabolica, associacao, hdl_c, relacao, variaveis",0.027692864679647503
63,"criancas, crianca, alimentacao_complementar, aleitamento_materno, infantil, ame, aleitamento_materno_exclusivo, amamentacao, maes, filhos","criancas, meses, idade, crianca, maes, vida, anos, infantil, aleitamento_materno, estado_nutricional",0.026959903893459255
22,"comensalidade, sentidos, sisan, significados, saberes, discursos, discurso, narrativas, concepcoes, bourdieu","alimentacao, campo, sobre, pesquisa, estudo, partir, processo, sociais, analise, social",0.02549726579014902
36,"pnae, alimentacao_escolar, programa_nacional_alimentacao_escolar, agricultura_familiar, cardapios, sustentabilidade, cardapio, agricultores, sustentaveis, municipios","alimentos, alimentacao_escolar, pnae, cardapios, programa, refeicoes, dados, municipios, escolares, analise",0.023816945157172576
17,"inseguranca_alimentar, familias, pbf, domicilios, capita, escala_brasileira_inseguranca_alimentar, programa_bolsa_familia, beneficiarias, domicilio, situacao","inseguranca_alimentar, familias, situacao, renda, domicilios, per, capita, domicilio, populacao, maior",0.023043469644245668
61,"cirurgia_bariatrica, intervencao, cirurgia, operatorio, grupo_intervencao, bgyr, pre_operatorio, roux, reganho, perda_peso","intervencao, apos, reducao, meses, grupos, grupo, pos, peso, pacientes, aumento",0.022577608104814725
9,"glim, asg, uti, admissao, internacao, desfechos_clinicos, risco_nutricional, utip, obito, criterios_glim","pacientes, desnutricao, mortalidade, tempo, internacao, risco_nutricional, asg, maior, risco, hospitalar",0.02203573935736042
51,"micronutrientes, macronutrientes, energia, nutrientes, carboidratos, inadequacao, ingestao, recomendacao, habitual, gorduras","consumo, ingestao, dieta, consumo_alimentar, energia, nutrientes, carboidratos, micronutrientes, sodio, calcio",0.021526885399169516
