topic,frex,highest_prob
1,"embase, lilacs, systematic_reviews, items, preferred, medline, revisao_sistematica, pubmed, scopus, science","estudos, artigos, revisao_sistematica, dados, of, revisao, incluidos, bases, resultados, science"
2,"epilepticas, a, o, crises, epilepsia, dieta_cetogenica, tica, na, farmacorresistente, sica","a, o, crises, p, epilepsia, pacientes, dieta_cetogenica, dieta, dc, controle"
3,"nanoparticulas, extratos, dpph, bioacessibilidade, abts, extracao, residuo, flavonoides, teor_compostos_fenolicos, cwpc","atividade_antioxidante, compostos_fenolicos, g, extrato, totais, extracao, extratos, mg, flavonoides, apresentou"
4,"gpg, dmg, gestantes, trimestre, pre_natal, gestacional, pos_parto, imc_pre_gestacional, ganho_peso_gestacional, parto","or, ic, gestantes, gestacao, mulheres, p, gestacional, pre_natal, durante, ic95"
5,"dl, mate, placebo, mthfr, pcr, glutamina, cego, citrulina, proteina_c_reativa, c677t","p, suplementacao, l, mg, placebo, dl, grupo, pcr, niveis, estudo"
6,"cmg, hiperalgesia, ej, caj, viridiflorol, plaquetaria, agregacao, colitico, bg, isometrica","mg, kg, tratamento, animais, ml, grupo, g, induzida, grupos, tratados"
7,"prole, filhotes, lactacao, hh, desmame, descendentes, perinatal, dieta_materna, ocidentalizada, ratas","prole, dieta, lactacao, durante, dias, gestacao, grupo, n, vida, filhotes"
8,"dinapenia, qualidade_muscular, idosos, idosos_institucionalizados, sarcopenia, capacidade_funcional, fragilidade, qv, fpm, sarc","idosos, sarcopenia, p, anos, idade, massa_muscular, envelhecimento, associacao, mulheres, forca_muscular"
9,"adolescentes, meninas, escolares, excesso_peso, meninos, escolas_publicas, sobrepeso, adolescencia, adolescente, omissao","adolescentes, excesso_peso, obesidade, anos, sobrepeso, escolares, idade, imc, estado_nutricional, associacao"
10,"catd, np, sod, cat, hl, gpx, oxidativo, superoxido_dismutase, estresse_oxidativo, tbars","p, estresse_oxidativo, atividade, antioxidantes, grupo, aumento, enzimas, sod, niveis, cat"
11,"ld, am, fh, ru, pmc, frutas_hortalicas, professores, mar, sede, hortalicas","consumo, frutas_hortalicas, fh, am, sobre, hortalicas, alimentos, individuos, ld, intervencao"
12,"futebol, jogadores, jogos, jogo, militares, aerobia, esforcos, pentatlo, bola, basquetebol","atletas, treinamento, estudo, jogadores, apos, futebol, durante, tempo, jogos, intensidade"
13,"il_6, leptina, adiponectina, tnf, il_10, citocinas, adipocinas, il, interleucina_6, lps","concentracoes, leptina, tnf, il_6, il, adiponectina, tecido_adiposo, inflamacao, concentracao, il_10"
14,"sm, cintura, sindrome_metabolica, risco_cardiovascular, rce, risco_cardiometabolico, perimetro_cintura, hdl_c, homa_ir, pressao_arterial","sm, pressao_arterial, imc, p, associacao, risco, idade, anos, relacao, sindrome_metabolica"
15,"cancer_mama, mcf, wcrf, quimioterapia, quimioterapico, tumoral, ecv, aicr, dox, neoplasia","celulas, cancer_mama, cancer, tratamento, celular, quimioterapia, m, efeito, tumoral, resultados"
16,"ultrassom, secagem, microparticulas, vacuo, pigmentado, licuri, impregnacao, dende, pasteurizacao, pinhoes","g, c, amostras, armazenamento, tempo, p, apos, tratamento, ultrassom, temperatura"
17,"mann_whitney, correlacoes, student, spearman, r, pearson, correlacao, correlacao_pearson, shapiro_wilk, kruskal_wallis","p, r, teste, correlacao, variaveis, significancia, t, nivel, student, testes"
18,"sentidos, comensalidade, habitus, significados, discurso, ato, discursos, cozinhar, comida, narrativas","alimentacao, sobre, campo, analise, estudo, social, sociais, saude, pesquisa, partir"
19,"linhaca, acidos_graxos, epa, omega_3, ags, ag, agt, monoinsaturados, omega, graxo","acidos_graxos, oleo, acido, dieta, gc, omega_3, consumo, lipidios, linhaca, ag"
20,"ig, cg, aig, pn, anuncios, fb, gig, rn, facebook, vs","vs, p, ig, cg, r, maior, pn, consumo, estudo, rn"
21,"rp, iodo, ic95, sintomas_depressivos, tmc, depressao, comportamento_sedentario, tabagismo, estudantes_universitarios, comportamentos","ic95, rp, prevalencia, associacao, maior, saude, or, consumo, estilo_vida, anos"
