topic,frex,highest_prob
22,"sono, trabalhadores, turnos, turno, ocupacional, ocupacionais, trabalhador, sonolencia, alternantes, cronotipo","sono, trabalhadores, qualidade, atletas, trabalho, maior, estudo, apresentaram, tempo, p"
23,"iid, kefir, simbiotico, microbiota_intestinal, constipacao, microbiota, intestinal, agcc, firmicutes, fezes","microbiota_intestinal, intestinal, iid, dieta, grupo, kefir, grupos, microbiota, inflamatorio, composicao"
24,"100g, frutos, cultivares, licopeno, cinzas, cultivar, teores, panc, cascas, pequi","g, 100g, teor, teores, frutos, mg, composicao, maior, polpa, apresentaram"
25,"cirurgia_bariatrica, operatorio, bgyr, pre_operatorio, cirurgia, roux, reganho, t2, perda_peso, t1","obesidade, pos, apos, peso, meses, p, pacientes, reducao, imc, mulheres"
26,"dm2, diabeticos, dm1, dm, stz, controle_glicemico, camu, hba1c, diabetes, mellitus","diabetes, dm2, tratamento, dm, diabeticos, mellitus, controle_glicemico, insulina, animais, propolis"
27,"anemia, falciforme, ferro, hemoglobina, zinco, ferritina, hepcidina, ferropriva, heme, biodisponibilidade","ferro, anemia, zinco, grupo, p, hemoglobina, grupos, deficiencia, g, concentracao"
28,"inseguranca_alimentar, escala_brasileira_inseguranca_alimentar, ia, familias, domicilios, ebia, pbf, situacao, programa_bolsa_familia, seguranca_alimentar","inseguranca_alimentar, ia, prevalencia, populacao, familias, saude, situacao, brasil, anos, renda"
29,"has, hiv, hipertensao_arterial_sistemica, hipertensos, hipertensao_arterial, doenca, hipertensao, portadores, diagnostico, medicamentos","pacientes, doenca, individuos, anos, diagnostico, estado_nutricional, has, prevalencia, obesidade, idade"
30,"fluoxetina, alastrante, sert, dhh, dac, serotonina, cortical, serotoninergico, cerebral, propagacao","animais, n, grupo, grupos, dac, dias, durante, ratos, c, dia"
31,"manipuladores_alimentos, manipuladores, seguranca_alimentos, boas, higiene, sanitaria, dta, uane, maos, higienico_sanitarias","alimentos, praticas, amostras, risco, condicoes, boas, qualidade, estudo, contaminacao, agua"
32,"hfhf, jucara, chia, dieta_hiperlipidica, acai, ain, frutose, hfd, hf, hj","dieta, grupo, grupos, dieta_hiperlipidica, animais, obesidade, consumo, chia, efeito, semanas"
33,"pandemia, imagem_corporal, pandemia_covid_19, comportamentos_alimentares, emocional, comportamento_alimentar, satisfacao, silhuetas, insatisfacao_corporal, eating","percepcao, alimentar, comportamento_alimentar, alimentacao, escala, imagem_corporal, estudo, pandemia, relacao, pandemia_covid_19"
34,"fermentacao, fermentum, probioticas, colonica, casei, lactobacillus, paracasei, subsp, probiotica, probioticos","l, fermentacao, durante, probioticos, ph, cepas, lactobacillus, g, viabilidade, in"
35,"placentario, 3p, mirnas, placentaria, 5p, placenta, mir, mirna, trpa1, mirs","expressao, mir, metilacao, placenta, genes, alem, proteinas, relacao, c, podem"
36,"cho, cafeina, pla, enxague, bicarbonato, ciclismo, caf, desempenho, exercicios, ergogenico","cafeina, desempenho, cho, suplementacao, sobre, efeitos, placebo, efeito, ingestao, pla"
37,"exercicio, resistido, sessao, treinamento_forca, treino, treinamento, sessoes, treinados, corredores, 1rm","exercicio, apos, p, treinamento, muscular, minutos, grupos, exercicio_fisico, estudo, forca"
38,"cistica, fc, vfc, lf, sb, nox, mutacao, f508, fibrose, tau","fc, p, grupo, grupos, idade, i, carga, n, maior, criancas_adolescentes"
39,"celiacos, psg, gluten, paes, sorgo, celiaca, pao, trigo, drg, tef","gluten, sorgo, paes, farinha, preparacoes, alimentos, trigo, pao, produtos, formulacoes"
40,"parkin, 7nachr, uprmt, ferida, sinalizacao, ativacao, feridas, regeneracao, colinergica, cicatrizacao","camundongos, animais, via, aumento, processo, sinalizacao, ativacao, exercicio_fisico, muscular, celulas"
41,"alimentacao_complementar, aleitamento_materno_exclusivo, aleitamento_materno, criancas, crianca, infantil, ame, lactentes, leite_materno, nutrizes","criancas, meses, idade, crianca, maes, infantil, vida, p, anos, aleitamento_materno"
42,"hac, et, al, azeite_oliva, emax, endotelio, azeites, shr, sticl, algoritmos","al, et, azeite_oliva, compostos, shr, n, emax, g, sendo, efeito"
43,"drc, hd, dialise, doenca_renal_cronica, hemodialise, dhgna, tfge, dialitica, toxinas, uremicas","pacientes, drc, hd, grupo, hemodialise, p, doenca_renal_cronica, dialise, niveis, dhgna"
44,"ccm, wpc, cafeteria, xantana, mkp, obeso, gpr120, frutose, obs, tolerancia_glicose","dieta, animais, grupos, aumento, obesidade, grupo, ratos, controle, alteracoes, semanas"
45,"dex, racao, foliculos, aminotransferase, toyoi, hls, gavagem, leucina, ast, ovariana","p, animais, grupo, grupos, n, dias, tratamento, maior, apresentou, suplementacao"
46,"oeov, oero, l_monocytogenes, antracnose, cim, oecc, car, qui, biofilme, vulgare","ml, isolados, s, l, cepas, cim, quitosana, crescimento, concentracoes, oeov"
47,"analise_sensorial, sensorial, tecnologicas, sensoriais, biscoitos, cookies, aroma, textura, intencao, formulacoes","farinha, formulacoes, aceitacao, produtos, adicao, sensorial, fisico, sensoriais, produto, teor"
48,"tomilho, agrotoxicos, caprino, bico, cabra, queijos, grao, coalho, tripsina, itt","leite, atividade, extrato, propolis, agrotoxicos, maior, producao, queijo, queijos, sendo"
49,"rotulos, rotulagem, alimentos_industrializados, aditivos, nbcal, aditivos_alimentares, ingredientes, rotulo, informacao_nutricional, direcionados","alimentos, produtos, sodio, rotulos, sobre, rotulagem, ingredientes, brasil, alimentos_industrializados, informacoes"
50,"lphc, ilhotas, lc, restricao_proteica, cnp, ovx, co, prenhez, sham, prenhes","grupo, grupos, dieta, ratas, ratos, maior, glicose, proteina, relacao, soja"
51,"grupo_intervencao, gi, intervencao, mudanca, efetividade, aconselhamento, intervencoes, oficinas, estudo_intervencao, estagios","intervencao, p, nutricional, grupo, sobre, estudo, grupos, apos, reducao, mudanca"
52,"asg, glim, nrs, risco_nutricional, criterios_glim, uti, internamento, obito, internacao, desfechos_clinicos","pacientes, desnutricao, p, mortalidade, tempo, estado_nutricional, risco_nutricional, maior, internacao, cancer"
53,"padroes_alimentares, qualidade_dieta, ultraprocessados, aup, padrao_alimentar, processados, consumo_alimentos, doces, questionario_frequencia_alimentar, consumo_alimentar","consumo, consumo_alimentar, alimentos, dieta, maior, ingestao, ultraprocessados, consumo_alimentos, padrao, padroes_alimentares"
54,"prandial, voluntarias, ages, prandiais, apetite, amendoim, castanha, saciedade, glicacao, jejum","consumo, apos, mulheres, grupo, p, reducao, grupos, obesidade, intervencao, estudo"
55,"equacoes, dxa, bia, tmb, ger, equacao, tav, absorciometria, mlg, raios_x","composicao_corporal, mulheres, equacoes, imc, concordancia, dxa, kg, anos, homens, avaliacao"
56,"cardapios, agricultura_familiar, desertos, cardapio, aquisicao, pantanos, alimentacao_escolar, pnae, programa_nacional_alimentacao_escolar, cantinas","alimentos, alimentacao_escolar, estabelecimentos, ambiente_alimentar, cardapios, escolas, aquisicao, maior, refeicoes, estudo"
57,"hipovitaminose_d, vitamina_d, oh, retinol, polimorfismo, polimorfismos, 25ohd, vdr, snp, alelo","vitamina_d, p, concentracoes, d, deficiencia, vitamina, oh, calcio, niveis, mulheres"
58,"nasf, conselheiros, politica, sisan, atores, pnan, ean, gestores, pedagogica, csa","acoes, saude, nutricao, profissionais, estudo, sobre, analise, alimentacao, trabalho, pesquisa"
59,"ivc, validacao_conteudo, juizes, especialistas, instrumento, itens, confiabilidade, validade, interna, validacao","instrumento, avaliacao, itens, especialistas, validade, validacao, conteudo, questionario, sobre, estudo"
60,"epsan, lojas, areas, mistos, equipamentos, sacoloes, estabelecimentos, hfsi, ivs, pro3x","areas, estabelecimentos, epsan, mistos, p, equipamentos, disponibilidade, n, acesso, lojas"
