topic,FREX,BETA,GAMMA
52,"ean, alimentacao_escolar, pnae, programa_nacional_alimentacao_escolar, gestao","acoes, saude, profissionais, alimentacao_escolar, nutricao",0.03971152712681902
12,"padroes_alimentares, aup, ultraprocessados, consumo_alimentos, padrao_alimentar","consumo, alimentos, consumo_alimentar, consumo_alimentos, ultraprocessados",0.030978913099053835
2,"adolescentes, meninas, escolares, excesso_peso, meninos","adolescentes, excesso_peso, anos, escolares, idade",0.030542069243185237
56,"sintomas_depressivos, has, depressao, tabagismo, alcool","prevalencia, associacao, mulheres, anos, maior",0.03006802526840924
31,"risco_cardiovascular, sindrome_metabolica, hdl_c, ldl_c, colesterol_total","pressao_arterial, colesterol_total, risco, triglicerideos, perfil_lipidico",0.02769859790301927
63,"criancas, alimentacao_complementar, crianca, aleitamento_materno, infantil","criancas, idade, meses, crianca, maes",0.02698787418800538
22,"comensalidade, sisan, sentidos, significados, saberes","alimentacao, campo, pesquisa, sobre, estudo",0.025892935495291015
17,"inseguranca_alimentar, familias, pbf, domicilios, capita","inseguranca_alimentar, familias, situacao, renda, domicilios",0.023469139679782723
61,"cirurgia_bariatrica, intervencao, cirurgia, grupo_intervencao, operatorio","intervencao, apos, reducao, meses, grupos",0.022570529651218092
9,"glim, asg, uti, admissao, internacao","pacientes, desnutricao, mortalidade, tempo, internacao",0.021578365329785805
51,"micronutrientes, macronutrientes, energia, carboidratos, nutrientes","consumo, ingestao, energia, nutrientes, dieta",0.02115489974506339
3,"lilacs, revisao_sistematica, pubmed, scopus, bases","estudos, artigos, revisao_sistematica, dados, revisao",0.02098863391359815
43,"polpa, extratos, cerrado, fruto, xique","polpa, atividade_antioxidante, compostos_fenolicos, totais, extrato",0.020975392336500993
27,"iid, angulo_fase, roc, tav, braco","imc, indice, composicao_corporal, correlacao, valores",0.02080491360975717
24,"idade_gestacional, gpg, trimestre, gestantes, pre_natal","gestantes, gestacao, mulheres, gestacional, pre_natal",0.02045622509648522
30,"dcnt, paises, custos, doencas_cronicas_transmissiveis, vigilancia","saude, brasil, populacao, paises, dcnt",0.020036936178343224
54,"prole, filhotes, perinatal, lactacao, desmame","dieta, dias, prole, grupo, lactacao",0.019781516585388625
64,"paes, aceitabilidade, aceitacao, textura, tecnologicas","farinha, aceitacao, formulacoes, produtos, sabor",0.019458579855412265
49,"imagem_corporal, transtornos_alimentares, comportamentos_alimentares, comer, insatisfacao_corporal","sobre, percepcao, imagem_corporal, comer, saude",0.01933414721515622
26,"sarcopenia, idosos, dinapenia, idosas, fpm","idosos, sarcopenia, massa_muscular, anos, idade",0.01919254019718726
15,"rotulos, rotulagem, alimentos_industrializados, ingredientes, compras","alimentos, produtos, qualidade, nutricional, preparacoes",0.018920474749936515
36,"seguranca_alimentos, sustentabilidade, uan, manipuladores_alimentos, dta","alimentos, praticas, dados, risco, sobre",0.018491870179711076
18,"adiponectina, obesidade, sobrepeso, leptina, adipocinas","obesidade, mulheres, sobrepeso, leptina, imc",0.01848368380175276
47,"especialistas, ivc, confiabilidade, instrumento, cronbach","instrumento, itens, avaliacao, validacao, validade",0.0169230159264498
20,"dialise, hemodialise, doenca_renal_cronica, drc, transplante","pacientes, drc, doenca, grupo, hemodialise",0.01671668688566723
35,"7nachr, sinalizacao, hipotalamo, gpr120, lps","aumento, insulina, animais, camundongos, via",0.01594115549820653
58,"secagem, ultrassom, extracao, termossonicacao, vacuo","extracao, tempo, temperatura, ultrassom, secagem",0.015940366097107788
39,"qualidade_vida, qvrs, disfagia, dominios, sintomas","qualidade_vida, tratamento, pacientes, estado_nutricional, cancer",0.015489096058337083
10,"anemia, vitamina_d, hepcidina, deficiencia, hipovitaminose_d","vitamina_d, ferro, deficiencia, anemia, niveis",0.015405158064671487
34,"qualidade_dieta, pontuacao, iqd, pontuacoes, ias","dieta, qualidade_dieta, pontuacao, alimentacao, qualidade",0.01535578669834864
38,"oeov, biofilme, cim, oero, oleo_essencial","cepas, isolados, cim, crescimento, bacterias",0.014912545628104316
53,"dmo, equacoes, tmb, dxa, ger","composicao_corporal, equacoes, dmo, dxa, estudo",0.014826340476976943
62,"sono, universitarios, trabalhadores, estudantes_universitarios, turno","sono, trabalho, qualidade, trabalhadores, estudantes",0.014752497850687636
33,"cafeina, exaustao, pla, corredores, placebo","teste, placebo, cafeina, atletas, apos",0.013823480266008634
45,"staphylococcus, coagulase, enterais, contaminacao, coliformes_totais","amostras, contaminacao, condicoes, qualidade, presenca",0.013614761510836829
37,"cha_verde, stz, diabetico, dieta_hiperlipidica, diabeticos","grupo, grupos, animais, dieta_hiperlipidica, extrato",0.013599842235614015
29,"linhaca, oleo_coco, oleo, virgem, ain","dieta, oleo, grupo, acidos_graxos, grupos",0.013330228194092752
19,"prandial, ccm, ages, wpc, voluntarias","consumo, apos, estudo, concentracoes, efeito",0.013245151852050446
