topic,FREX,BETA,GAMMA
11,"ambiente_alimentar, entorno, estabelecimentos, desertos, pantanos","estabelecimentos, ambiente_alimentar, alimentos, escolas, ambiente",0.013174001320937222
8,"fermentacao, probioticas, casei, colonica, fermentado","fermentacao, durante, apos, atividade, ufc",0.012962692150910787
21,"catd, sod, cat, estresse_oxidativo, gpx","estresse_oxidativo, atividade, antioxidantes, grupo, aumento",0.012208439435275779
65,"dm2, selenio, hba1c, zinco, rcv","individuos, diabetes, zinco, dm2, selenio",0.011376513832184387
14,"coco, grao, tomate, bico, cafe","teor, amostras, cafe, maior, teores",0.011139830450080622
6,"cho, prova, enxague, caf, desempenho","desempenho, cho, sobre, atletas, teste",0.010962937372375758
5,"adipocitos, inguinal, tam, mesenterico, epididimal","animais, grupo, grupos, tecido_adiposo, maior",0.010895816603417062
28,"simbiotico, microbiota_intestinal, intestinal, disbiose, microbiota","intestinal, microbiota_intestinal, grupo, grupos, microbiota",0.01074653085292845
7,"restricao_proteica, ilhotas, lphc, ovx, dieta_hipoproteica","grupo, grupos, dieta, ratos, ratas",0.009739942149266897
25,"shr, doses, emax, paracetamol, cmg","tratamento, animais, grupo, grupos, dose",0.009721422711560247
59,"snp, snps, alelos, polimorfismos, alelo","gene, polimorfismo, genotipo, gluten, polimorfismos",0.009421719823032255
57,"covid_19, sars, pandemia, cov, pandemia_covid_19","covid_19, pandemia_covid_19, durante, pandemia, estudo",0.00932770509665182
32,"dac, cortical, memoria, cortex, cruz","dac, animais, grupos, ansiedade, dias",0.009156802897677452
44,"mcf, ecv, tumorais, ccr, cancer_mama","celulas, cancer_mama, tratamento, cancer, propolis",0.00913034032248112
4,"jogos, sessao, jogadores, jogo, exercicio","exercicio, apos, exercicio_fisico, intensidade, estudo",0.008612979218892662
42,"oleo_peixe, neoplasias, efeitos_suplementacao, suplementacao, epa","suplementacao, placebo, pacientes, pcr, grupo",0.008458276025965699
41,"encapsulacao, nanoparticulas, microparticulas, zeta, ftir","oleo, proteina, nanoparticulas, quanto, apresentaram",0.007812594766210169
46,"caprino, vaca, leite_humano, leite, nbcal","leite, lactentes, leite_humano, vaca, formulas",0.007665628915030105
23,"kefir, treinamento_fisico, resistido, treinado, msg","grupos, treinamento, kefir, semanas, treinamento_fisico",0.0075289560471024745
60,"placenta, mir, femeas, placentario, let","expressao, mir, femeas, expressao_genica, aumento",0.00741127956493798
16,"tocoferol, caroteno, folico, agpi, dha","acidos_graxos, acido, concentracoes, vitamina, 100g",0.007327871421504005
40,"chia, brs, sorgo, feijao, biodisponibilidade","chia, farinha, feijao, sorgo, ferro",0.0065408497076713265
13,"hiperalgesia, parkin, dor, contracao, p2x3","muscular, dor, hiperalgesia, tecido, receptores",0.005934816870879284
1,"mthfr, metilacao, hipertensas, c677t, citrulina","metilacao, niveis, gene, perfil, mthfr",0.005242205526149642
50,"uva, vinhos, polifenois, gergelim, panc","polifenois, uva, residuos, alimentos, totais",0.005089756119938729
48,"dm1, silico, s6ks, s6k2, ittp","dm1, estudos, diabetes, agrotoxicos, estudo",0.005011896314425283
55,"piperina, mdr, ase, h2o2, especiarias","celulas, expressao, efeito, piperina, celular",0.004837444562054609
66,"livre, massa, gordura, gama, realizamos","livre, massa, gordura, associacao, composicao_corporal",0.0011068462284355136
