AN_BASE,NM_ENTIDADE_ENSINO,CD_PROGRAMA,NM_PRODUCAO,NM_SUBTIPO_PRODUCAO,DS_PALAVRA_CHAVE,NM_REGIAO,SG_UF_IES,CD_AREA_CONHECIMENTO,NR_PAGINAS,DS_RESUMO,NM_GRAU_ACADEMICO
2013,UNIVERSIDADE FEDERAL DE SÃO PAULO,33009015041P2,EFEITO DA SUPLEMENTAÇÃO DE PREBIÓTICOS SOBRE OS FATOREAS REGULADORES DA ABSORÇÃO DE FERRO EM RATOS ANÊMICOS EM FASE DE CRESCIMENTO,TESE,EFEITO DA SUPLEMENTAÇÃO DE PREBIÓTICOS SOBRE OS FATOREAS REGULADORES DA ABSORÇÃO DE FERRO EM RATOS ANÊMICOS EM FASE DE CRESCIMENTO,SUDESTE,SP,40500004,0,EFEITO DA SUPLEMENTAÇÃO DE PREBIÓTICOS SOBRE OS FATOREAS REGULADORES DA ABSORÇÃO DE FERRO EM RATOS ANÊMICOS EM FASE DE CRESCIMENTO,DOUTORADO
2013,UNIVERSIDADE FEDERAL DE SÃO PAULO,33009015041P2,EFEITO DO TRATAMENTO PROLONGADO DE GALATO-3-EPIGALOCATEQUINA SOBRE O TEOR HIPOTALÂMICO DE PROTEÍNAS RELACIONADAS AO CONTROLE DA INGESTÃO ALIMENTAR: ANÁLISE DAS VIAS DO SISTEMA SEROTONÉRGICO E DA INFLAMAÇÃO,DISSERTAÇÃO,EFEITO DO TRATAMENTO PROLONGADO DE GALATO-3-EPIGALOCATEQUINA SOBRE O TEOR HIPOTALÂMICO DE PROTEÍNAS RELACIONADAS AO CONTROLE DA INGESTÃO ALIMENTAR: ANÁLISE DAS VIAS DO SISTEMA SEROTONÉRGICO E DA INFLAMAÇÃO,SUDESTE,SP,40500004,0,EFEITO DO TRATAMENTO PROLONGADO DE GALATO-3-EPIGALOCATEQUINA SOBRE O TEOR HIPOTALÂMICO DE PROTEÍNAS RELACIONADAS AO CONTROLE DA INGESTÃO ALIMENTAR: ANÁLISE DAS VIAS DO SISTEMA SEROTONÉRGICO E DA INFLAMAÇÃO,MESTRADO
2013,UNIVERSIDADE FEDERAL DE SÃO PAULO,33009015041P2,EFEITO DOS HORMÔNIOS TIREOIDIANOS SOBRE OS MECANISMOS INTRACELULARES ENVOLVIDOS COM O DESENVOLVIMENTO DE RESISTÊNCIA À INSULINA,TESE,EFEITO DOS HORMÔNIOS TIREOIDIANOS SOBRE OS MECANISMOS INTRACELULARES ENVOLVIDOS COM O DESENVOLVIMENTO DE RESISTÊNCIA À INSULINA,SUDESTE,SP,40500004,0,EFEITO DOS HORMÔNIOS TIREOIDIANOS SOBRE OS MECANISMOS INTRACELULARES ENVOLVIDOS COM O DESENVOLVIMENTO DE RESISTÊNCIA À INSULINA,DOUTORADO
2013,UNIVERSIDADE FEDERAL DE SÃO PAULO,33009015041P2,O EFEITO DOS FATORES AMBIENTAIS SOBRE A PRÁTICA DE ATIVIDADE FÍSICA DE MULHERES MORADORAS DO MUNICÍPIO DE SANTOS - SP,DISSERTAÇÃO,O EFEITO DOS FATORES AMBIENTAIS SOBRE A PRÁTICA DE ATIVIDADE FÍSICA DE MULHERES MORADORAS DO MUNICÍPIO DE SANTOS - SP,SUDESTE,SP,40500004,0,O EFEITO DOS FATORES AMBIENTAIS SOBRE A PRÁTICA DE ATIVIDADE FÍSICA DE MULHERES MORADORAS DO MUNICÍPIO DE SANTOS - SP,MESTRADO
2013,UNIVERSIDADE FEDERAL DE SÃO PAULO,33009015041P2,"RESISTÊNCIA A INSULINA EM CRIANÇAS E ADOLESCENTES OBESOS: RELAÇÃO COM VARIÁVEIS CLÍNICAS, BIOQUÍMICAS E ANTROPOMÉTRICAS",TESE,"RESISTÊNCIA A INSULINA EM CRIANÇAS E ADOLESCENTES OBESOS: RELAÇÃO COM VARIÁVEIS CLÍNICAS, BIOQUÍMICAS E ANTROPOMÉTRICAS",SUDESTE,SP,40500004,0,"RESISTÊNCIA A INSULINA EM CRIANÇAS E ADOLESCENTES OBESOS: RELAÇÃO COM VARIÁVEIS CLÍNICAS, BIOQUÍMICAS E ANTROPOMÉTRICAS",DOUTORADO
2013,UNIVERSIDADE FEDERAL DE SÃO PAULO,33009015041P2,"PRIORIDADES NA EXECUÇÃO DE AÇÕES TÉCNICO-ADMINISTRATIVAS RELEVANTES NA GERAÇÃO DE SOBRAS EM UNIDADES DE ALIMENTAÇÃO E NUTRIÇÃO: INFLUÊNCIA DO TIPO DE GESTÃO, PRÓPRIA OU TERCEIRIZADA, DO TIPO DE CONTRATO E DA ATIVIDADE-FIM DA EMPRESA TOMADORA DE SERVIÇO",TESE,"PRIORIDADES NA EXECUÇÃO DE AÇÕES TÉCNICO-ADMINISTRATIVAS RELEVANTES NA GERAÇÃO DE SOBRAS EM UNIDADES DE ALIMENTAÇÃO E NUTRIÇÃO: INFLUÊNCIA DO TIPO DE GESTÃO, PRÓPRIA OU TERCEIRIZADA, DO TIPO DE CONTRATO E DA ATIVIDADE-FIM DA EMPRESA TOMADORA DE SERVIÇO",SUDESTE,SP,40500004,0,"PRIORIDADES NA EXECUÇÃO DE AÇÕES TÉCNICO-ADMINISTRATIVAS RELEVANTES NA GERAÇÃO DE SOBRAS EM UNIDADES DE ALIMENTAÇÃO E NUTRIÇÃO: INFLUÊNCIA DO TIPO DE GESTÃO, PRÓPRIA OU TERCEIRIZADA, DO TIPO DE CONTRATO E DA ATIVIDADE-FIM DA EMPRESA TOMADORA DE SERVIÇO",DOUTORADO
2013,UNIVERSIDADE FEDERAL DE SÃO PAULO,33009015041P2,HÁBITOS ALIMENTARES E CONDIÇÃO NUTRICIONAL DE ADOLESCENTES QUE FREQUENTAM UMA ESCOLA PARTICULAR NA CIDADE DE SÃO PAULO,DISSERTAÇÃO,HÁBITOS ALIMENTARES E CONDIÇÃO NUTRICIONAL DE ADOLESCENTES QUE FREQUENTAM UMA ESCOLA PARTICULAR NA CIDADE DE SÃO PAULO,SUDESTE,SP,40500004,0,HÁBITOS ALIMENTARES E CONDIÇÃO NUTRICIONAL DE ADOLESCENTES QUE FREQUENTAM UMA ESCOLA PARTICULAR NA CIDADE DE SÃO PAULO,MESTRADO
2013,UNIVERSIDADE FEDERAL DE SÃO PAULO,33009015041P2,"IMPACTO DO ATENDIMENTO AMBULATORIAL EM GRUPO, QUANTO À ORIENTAÇÃO PARA A PRÁTICA DE ATIVIDADE FÍSICA, NO TRATAMENTO DE SOBREPESO E OBESIDADE EM ADOLESCENTES",DISSERTAÇÃO,"IMPACTO DO ATENDIMENTO AMBULATORIAL EM GRUPO, QUANTO À ORIENTAÇÃO PARA A PRÁTICA DE ATIVIDADE FÍSICA, NO TRATAMENTO DE SOBREPESO E OBESIDADE EM ADOLESCENTES",SUDESTE,SP,40500004,0,"IMPACTO DO ATENDIMENTO AMBULATORIAL EM GRUPO, QUANTO À ORIENTAÇÃO PARA A PRÁTICA DE ATIVIDADE FÍSICA, NO TRATAMENTO DE SOBREPESO E OBESIDADE EM ADOLESCENTES",MESTRADO
2013,UNIVERSIDADE FEDERAL DE SÃO PAULO,33009015041P2,"INVESTIGAÇÃO DE UM NOVO ALIMENTOS FUNCIONAL, COACERVADO A BASE DE PROTEÍNAS DO SORO DE QUEIJO E QUITOSANA, NA MODULAÇÃO DO TECIDO ADIPOSO MESENTÉRICO EM CAMUNDONGOS",TESE,"INVESTIGAÇÃO DE UM NOVO ALIMENTOS FUNCIONAL, COACERVADO A BASE DE PROTEÍNAS DO SORO DE QUEIJO E QUITOSANA, NA MODULAÇÃO DO TECIDO ADIPOSO MESENTÉRICO EM CAMUNDONGOS",SUDESTE,SP,40500004,0,"INVESTIGAÇÃO DE UM NOVO ALIMENTOS FUNCIONAL, COACERVADO A BASE DE PROTEÍNAS DO SORO DE QUEIJO E QUITOSANA, NA MODULAÇÃO DO TECIDO ADIPOSO MESENTÉRICO EM CAMUNDONGOS",DOUTORADO
2013,UNIVERSIDADE FEDERAL DE SÃO PAULO,33009015041P2,O EFEITO DAS COMORBIDADES NO SONO DE PACIENTES IDOSOS INDEPENDENTES,DISSERTAÇÃO,O EFEITO DAS COMORBIDADES NO SONO DE PACIENTES IDOSOS INDEPENDENTES,SUDESTE,SP,40500004,0,O EFEITO DAS COMORBIDADES NO SONO DE PACIENTES IDOSOS INDEPENDENTES,MESTRADO
2013,UNIVERSIDADE FEDERAL DE OURO PRETO,32007019022P2,INFLUÊNCIA TEMPORAL DO EXERCÍCIO AERÓBICO E DA HIPERTENSÃO RENOVASCULAR 2R1C EM RATOS SOBRE PARÂMETROS CARDIOVASCULARES E RENAIS POR ATÉ DEZ SEMANAS,DISSERTAÇÃO,-,SUDESTE,MG,40500004,0,-,MESTRADO
2014,UNIVERSIDADE DE BRASÍLIA,53001010049P2,AVALIAÇÃO DA CONTAMINAÇÃO POR GLÚTEN EM ALIMENTOS ISENTOS DE GLÚTEN COMERCIALIZADOS EM PANIFICADORAS,DISSERTAÇÃO,INSERIR,CENTRO-OESTE,DF,40500004,0,INSERIR,MESTRADO
2014,UNIVERSIDADE FEDERAL DE SÃO PAULO,33009015041P2,ORIENTAÇÃO E SUPLEMENTAÇÃO NUTRICIONAL PÓS ALTA HOSPITALAR IMPACTANDO NA RECUPERAÇÃO DO ESTADO NUTRICIONAL DE PACIENTES SUBMETIDOS À REVASCULARIZAÇÃO DO MIOCÁRDIO,DISSERTAÇÃO,ORIENTAÇÃO E SUPLEMENTAÇÃO NUTRICIONAL PÓS ALTA HOSPITALAR IMPACTANDO NA RECUPERAÇÃO DO ESTADO NUTRICIONAL DE PACIENTES SUBMETIDOS À REVASCULARIZAÇÃO DO MIOCÁRDIO,SUDESTE,SP,40500004,0,ORIENTAÇÃO E SUPLEMENTAÇÃO NUTRICIONAL PÓS ALTA HOSPITALAR IMPACTANDO NA RECUPERAÇÃO DO ESTADO NUTRICIONAL DE PACIENTES SUBMETIDOS À REVASCULARIZAÇÃO DO MIOCÁRDIO,MESTRADO
2014,UNIVERSIDADE FEDERAL DE OURO PRETO,32007019022P2,"PREDIÇÃO DAS CONCENTRAÇÕES PLASMÁTICAS DE IL-1&#946;, IL-6 E TNF-&#945; POR AGRUPAMENTOS DE FATORES DE RISCO CARDIOVASCULAR EM ADOLESCENTES",DISSERTAÇÃO,-,SUDESTE,MG,40500004,0,-,MESTRADO
2014,UNIVERSIDADE FEDERAL DE OURO PRETO,32007019022P2,"UTILIZAÇÃO DA UNIDADE DE PRONTO ATENDIMENTO DE OURO PRETO, MINAS GERAIS, 2012",DISSERTAÇÃO,-,SUDESTE,MG,40500004,0,-,MESTRADO
2014,UNIVERSIDADE FEDERAL DE OURO PRETO,32007019022P2,ANGIOTENSINA II E ANGIOTENSINA 1-7: AÇÃO ANORÉXICA CENTRAL EM RATOS PRIVADOS DE ALIMENTOS,DISSERTAÇÃO,ANGIOTENSINA,SUDESTE,MG,40500004,0,ANGIOTENSINA II E ANGIOTENSINA 1-7: AÇÃO ANORÉXICA CENTRAL EM RATOS PRIVADOS DE ALIMENTOS,MESTRADO
2014,UNIVERSIDADE FEDERAL DE OURO PRETO,32007019022P2,AVALIAÇÃO DO POTENCIAL ANTIOXIDANTE DA FARINHA DE BURITI (MAURITIA FLEXUOSA) IN VITRO EM RATOS DIABÉTICOS,DISSERTAÇÃO,-,SUDESTE,MG,40500004,0,-,MESTRADO
2014,UNIVERSIDADE FEDERAL DE OURO PRETO,32007019022P2,BIOMARCADORES INFLAMATÓRIOS EM INDIVÍDUOS ADULTOS COM SOBREPESO E OBESIDADE,DISSERTAÇÃO,-,SUDESTE,MG,40500004,0,-,MESTRADO
2015,UNIVERSIDADE ESTADUAL DE CAMPINAS/LIMEIRA,33003025002P4,TREINAMENTO COM JOGOS: A IMPORTÂNCIA DAS REGRAS E DA DIMENSÃO DOS CAMPOS NAS VARIÁVEIS FÍSICAS E NA MOVIMENTAÇÃO DOS JOGADORES DE FUTEBOL DURANTE OS TREINAMENTOS,DISSERTAÇÃO,-,SUDESTE,SP,40500004,0,-,MESTRADO
2015,UNIVERSIDADE ESTADUAL DE CAMPINAS/LIMEIRA,33003025002P4,EFEITO DA SUPLEMENTAÇÃO ORAL DE GLUTAMINA SOBRE O PERFIL SÉRICO DE AMINOÁCIDOS DE CADEIA RAMIFICADA EM INDIVÍDUOS COM SOBREPESO E OBESIDADE,DISSERTAÇÃO,-,SUDESTE,SP,40500004,0,-,MESTRADO
2015,UNIVERSIDADE ESTADUAL DE CAMPINAS/LIMEIRA,33003025002P4,OBESIDADE MATERNA NA GESTAÇÃO E/OU LACTAÇÃO: IMPACTO SOBRE O METABOLISMO LIPÍDICO E SENSIBILIDADE À DIETA HIPERLIPÍDICA NA PROLE,DISSERTAÇÃO,-,SUDESTE,SP,40500004,0,-,MESTRADO
2015,UNIVERSIDADE ESTADUAL DE CAMPINAS/LIMEIRA,33003025002P4,ENVOLVIMENTO DOS RECEPTORES TRPV1 E TRPA1 NA HIPERALGESIA MUSCULAR INDUZIDA POR CONTRAÇÃO ISOMÉTRICA SUSTENTADA NO MUSCULO GASTROCNÊMIO DE RATOS,DISSERTAÇÃO,"DOR MUSCULAR, CONTRAÇÃO ISOMÉTRICA SUSTENTADA, RECEPTORES TRPV1 E TRPA1",SUDESTE,SP,40500004,0,-,MESTRADO
2015,UNIVERSIDADE ESTADUAL DE CAMPINAS/LIMEIRA,33003025002P4,INIBIÇÃO DO CRESCIMENTO DE CÉLULAS LEUCÊMICAS HUMANAS POR RIPARINAS,DISSERTAÇÃO,-,SUDESTE,SP,40500004,0,-,MESTRADO
2015,UNIVERSIDADE FEDERAL DE SANTA CATARINA,41001010049P9,"ALIMENTOS ULTRAPROCESSADOS DIRECIONADOS A CRIANÇAS: DISPONIBILIDADE, INFORMAÇÃO NUTRICIONAL COMPLEMENTAR E OPINIÃO DE CONSUMIDORES INFANTIS",DISSERTAÇÃO,EM BREVE,SUL,SC,40500004,0,EM BREVE,MESTRADO
2016,UNIVERSIDADE FEDERAL DE OURO PRETO,32007019022P2,FATORES SOCIODEMOGRÁFICOS ASSOCIADOS AO USO DE SERVIÇOS ODONTOLÓGICOS PELA POPULAÇÃO RURAL BRASILEIRA,DISSERTAÇÃO,SOCIODEMOGRÁFICAS,SUDESTE,MG,40500004,0,CARACTERÍSTICAS SOCIODEMOGRÁFICAS ESTÃO ASSOCIADAS.,MESTRADO
2016,UNIVERSIDADE FEDERAL DE SANTA CATARINA,41001010049P9,PARÂMETROS DA BIOIMPEDÂNCIA ELÉTRICA: ACURAÇÃO DIAGNÓTICA PARA AVALIAÇÃO DA DESNUTRIÇÃO DE PACIENTES EM HEMODIÁLISE,DISSERTAÇÃO,.,SUL,SC,40500004,0,.,MESTRADO
2016,UNIVERSIDADE FEDERAL DE SANTA CATARINA,41001010049P9,SOBREPESO E OBESIDADE E ASSOCIAÇÃO COM BULLYING EM ESCOLARES DO MUNICÍPIO DE FLORIANÓPOLIS-SC,TESE,.,SUL,SC,40500004,0,.,DOUTORADO
2016,UNIVERSIDADE FEDERAL DE SANTA CATARINA,41001010049P9,FATORES ASSOCIADOS AO COMPROMETIMENTO DA CIRCUNFERÊNCIA DO BRAÇO EM PACIENTES PEDIÁTRICOS GRAVES EM VENTILAÇÃO MECÂNICA,DISSERTAÇÃO,.,SUL,SC,40500004,0,.,MESTRADO
2016,UNIVERSIDADE FEDERAL DE SANTA CATARINA,41001010049P9,IDENTIFICAÇÃO E CLASSIFICAÇÃO DOS ITENS ALIMENTARES DE UM QUESTIONÁRIO DE CONSUMO ALIMENTAR BASEADO NA WEB POR ESCOLARES DO 2º AO 5] ANO DO ENSINO FUNDAMENTAL,DISSERTAÇÃO,.,SUL,SC,40500004,0,.,MESTRADO
2016,UNIVERSIDADE FEDERAL DE SANTA CATARINA,41001010049P9,"EFEITO DA INGESTÃO DE MATE SOLÚVEL (ILEX PARAGUARIENSIS) EM MARCADORES DE ESTRESSE OXIDATIVO, PERFIL GLICÊMICO E COMPOSIÇÃO COPORAL DE ADOLESCENTES: ENSAIO CLÍNICO, CONTROLADO E RANDOMIZADO",DISSERTAÇÃO,.,SUL,SC,40500004,0,.,MESTRADO
2016,UNIVERSIDADE FEDERAL DE SANTA CATARINA,41001010049P9,EFEITO DE RESTRIÇÃO CALÓRICA SOBRE PARÂMETROS COMPORTAMENTAIS EM RATOS WISTAR MACHOS,DISSERTAÇÃO,.,SUL,SC,40500004,0,.,MESTRADO
2016,UNIVERSIDADE FEDERAL DE SANTA CATARINA,41001010049P9,NOTIFICAÇÃO DOS AÇÚCARES DE ADIÇÃO EM RÓTULOS DE ALIMENTOS INDUSTRIALIZADOS COMERCIALIZADOS NO BRASIL,DISSERTAÇÃO,.,SUL,SC,40500004,0,.,MESTRADO
2016,UNIVERSIDADE FEDERAL DE SÃO PAULO,33009015041P2,RESPOSTA À EXPOSIÇÃO AGUDA AO EXERCÍCIO FÍSICO MODERADO NA CONDIÇÃO DE HIPÓXIA SOBRE O CONTROLE AUTONÔMICO CARDÍACO,DISSERTAÇÃO,"HIPÓXIA, ALTITUDE, SONO, CONTROLE AUTONÔMICO CARDÍACO, EXERCÍCIO MODERADO",SUDESTE,SP,40500004,0,RESPOSTA À EXPOSIÇÃO AGUDA AO EXERCÍCIO FÍSICO MODERADO NA CONDIÇÃO DE HIPÓXIA SOBRE O CONTROLE AUTONÔMICO CARDÍACO,MESTRADO
2016,UNIVERSIDADE FEDERAL DE SÃO PAULO,33009015041P2,DIETA RESTRITIVA MATERNA E COMPORTAMENTO DA MÃE DURANTE AS REFEIÇÕES DOS SEUS FILHOS,DISSERTAÇÃO,X,SUDESTE,SP,40500004,0,X,MESTRADO
2016,UNIVERSIDADE FEDERAL DE SÃO PAULO,33009015041P2,ANÁLISE DA REGULAÇÃO NEUROENDÓCRINA DO BALANÇO ENERGÉTICO E FATORES INFLAMATÓRIOS EM INDIVÍDUOS SUBMETIDOS À CIRURGIA BARIÁTRICA,TESE,AAAAAAAAA;AAAAAAAAAAA;AAAAAAAAAAAAA;AAAAAAAAAA,SUDESTE,SP,40500004,0,XXXXXXXXXXXXXXXXXXXXXXXXXXX VVVVVVVVVVVVVVVVVVVVVV,DOUTORADO
2017,UNIVERSIDADE FEDERAL DE VIÇOSA,32002017024P3,"CONSUMO DE REFRIGERANTES, DOCES E AÇÚCARES DE ADIÇÃO E PREVALÊNCIA DE DEPRESSÃO EM GRADUADOS BRASILEIROS (PROJETO CUME)",DISSERTAÇÃO,DEPRESSÃO;PREVALÊNCIA;CONSUMO ALIMENTAR;BEBIDA CARBONATADA;ESTILO DE VIDA,SUDESTE,MG,40500004,100,XXXXX,MESTRADO
2017,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,31001017084P7,"FATORES PREDITORES DE ANEMIA EM PACIENTES AMBULATORIAIS COM RETOCOLITE ULCERATIVA, ACOMPANHADOS EM UM HOSPITAL UNIVERSITÁRIO NA REGIÃO SUDESTE DO BRASIL",DISSERTAÇÃO,A INSERIR,SUDESTE,RJ,40500004,100,A INSERIR,MESTRADO
2017,UNIVERSIDADE FEDERAL DA BAHIA,28001010047P9,ZINCO E DEPRESSÃO: REVISÃO SISTEMÁTICA E METANÁLISE,DISSERTAÇÃO,.,NORDESTE,BA,40500004,80,.,MESTRADO
2017,UNIVERSIDADE FEDERAL DE SANTA CATARINA,41001010049P9,ASSOCIAÇÃO DE COMPONENTES DIAGNÓSTICOS DA SINDROME METABÓLICA À VITAMINA D E A PROTEINA C-REATIVA NA POPULAÇÃO ADULTA DE FLORIANÓPOLIS: ESTUDO EPIFLORIPA,DISSERTAÇÃO,EMBREVE,SUL,SC,40500004,0,.,MESTRADO
2017,UNIVERSIDADE FEDERAL DE SANTA CATARINA,41001010049P9,AVALIAÇÃO DA REPRESENTATIVIDADE DOS ALIMENTOS REGISTRADOS EM DIÁRIO ALIMENTAR POR ESCOLARES FRENTE AOS ITENS ALIMENTARES DO QUESTIONÁRIO WEBCAAFE,DISSERTAÇÃO,.,SUL,SC,40500004,0,.,MESTRADO
2017,UNIVERSIDADE FEDERAL DE SANTA CATARINA,41001010049P9,"EFEITO NOS SUPLEMENTAÇÃO DE ÁCIDOS GRAXOS POLI-INSATURADOS ÔMEGA-3 NOS MARCADORES DE INFLAMAÇÃO EM INDIVÍDUOS COM CÂNCER GÁSTRICO E COLORRETAL EM TRATAMENTO QUIMIOTERÁPICO: UM ENSAIO CLÍNICO, RANDOMIZADO, PLACEBO-CONTROLADOE E TRIPLO CEGO",DISSERTAÇÃO,.,SUL,SC,40500004,0,.,MESTRADO
