AN_BASE,NM_ENTIDADE_ENSINO,CD_PROGRAMA,NM_PRODUCAO,NM_SUBTIPO_PRODUCAO,DS_PALAVRA_CHAVE,NM_REGIAO,SG_UF_IES,CD_AREA_CONHECIMENTO,NR_PAGINAS,DS_RESUMO,NM_GRAU_ACADEMICO
2018,UNIVERSIDADE FEDERAL DE PERNAMBUCO,25001019028P2,"""IMPLICAÇÕES DO TRATAMENTO NEONATAL COM L-TRIPTOFANO ASSOCIADO A GLICOSE NOS PARÂMETROS MASTIGATÓRIOS EM RATOS JOVENS",DISSERTAÇÃO,IMPLICAÇÕES DO TRATAMENTO NEONATAL COM L-TRIPTOFANO ASSOCIADO A GLICOSE NOS PARÂMETROS MASTIGATÓRIOS EM RATOS JOVENS,NORDESTE,PE,40500004,0,IMPLICAÇÕES DO TRATAMENTO NEONATAL COM L-TRIPTOFANO ASSOCIADO A GLICOSE NOS PARÂMETROS MASTIGATÓRIOS EM RATOS JOVENS,MESTRADO
2018,UNIVERSIDADE FEDERAL DE PERNAMBUCO,25001019028P2,"PESO, COMPOSIÇÃO CORPORAL E MATURAÇÃO SEXUAL PRECOCE: UM ESTUDO EM JOVENS UNIVERSITÁRIAS",DISSERTAÇÃO,"PESO, COMPOSIÇÃO CORPORAL E MATURAÇÃO SEXUAL PRECOCE: UM ESTUDO EM JOVENS UNIVERSITÁRIAS",NORDESTE,PE,40500004,0,"PESO, COMPOSIÇÃO CORPORAL E MATURAÇÃO SEXUAL PRECOCE: UM ESTUDO EM JOVENS UNIVERSITÁRIAS",MESTRADO
2019,UNIVERSIDADE FEDERAL DE OURO PRETO,32007019022P2,ANÁLISE DOS MARCADORES DE MICRODANO MUSCULAR RELACIONADOS AO PERFIL GENÉTICO DA ACTN3 APÓS UMA SESSÃO DE TREINO DE FORÇA,DISSERTAÇÃO,X,SUDESTE,MG,40500004,0,XX,MESTRADO
2019,UNIVERSIDADE FEDERAL DE OURO PRETO,32007019022P2,"CONTRIBUIÇÕES DO PROGRAMA DE ALIMENTAÇÃO ESCOLAR NO PERFIL SOCIAL E DE SAÚDE DOS AGRICULTORES FAMILIARES DO MUNICÍPIO DE MARIANA, MG",DISSERTAÇÃO,PROGRAMA DE ALIMENTAÇÃO ESCOLAR;AGRICULTORES FAMILIARES,SUDESTE,MG,40500004,0,"CONTRIBUIÇÕES DO PROGRAMA DE ALIMENTAÇÃO ESCOLAR NO PERFIL SOCIAL E DE SAÚDE DOS AGRICULTORES FAMILIARES DO MUNICÍPIO DE MARIANA, MG",MESTRADO
2019,UNIVERSIDADE FEDERAL DE SÃO PAULO,33009015041P2,INFLUÊNCIA DE POLUENTES ATMOSFÉRICOS SOBRE A CAPACIDADE FÍSICA AERÓBIA DE IDOSOS: AMBIENTE ABERTO VERSUS AMBIENTE FECHADO,TESE,X,SUDESTE,SP,40500004,0,X,DOUTORADO
2019,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,31004016052P7,CINEMA E COMENSALIDADE NA ESCOLA: O DIÁLOGO CIÊNCIA E ARTE NA CRIAÇÃO DE UM WEBSITE DO CAMPO DA ALIMENTAÇÃO E NUTRIÇÃO,DISSERTAÇÃO,NUTRIÇÃO,SUDESTE,RJ,40500004,89,XXX,MESTRADO
2019,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,31004016052P7,IMPACTO DO CONSUMO DE BANANA VERDE NA OBESIDADE EXPERIMENTAL: IMPLICAÇÕES METABÓLICAS E NA MICROBIOTA INTESTINAL,TESE,NUTRIÇÃO,SUDESTE,RJ,40500004,100,IMPACTO DO CONSUMO DE BANANA VERDE DA OBESIDADE EXPERIMENTAL: IMPLICAÇÕES METABÓLICAS E NA MICROBIOTA INTESTINAL,DOUTORADO
2019,UNIVERSIDADE FEDERAL DE SANTA CATARINA,41001010049P9,ADAPTAÇÃO E TESTES DE RECEITAS CULINÁRIAS DO PROGRAMA NUTRIÇÃO E CULINÁRIA NA COZINHA PARA INDIVÍDUOS COM DIABETES MELLITUS TIPO 2,DISSERTAÇÃO,.,SUL,SC,40500004,0,.,MESTRADO
2019,UNIVERSIDADE FEDERAL DE SANTA CATARINA,41001010049P9,ALIMENTO DE QUALIDADE: A OPINIÃO DE ATORES DO SISTEMA ALIMENTAR,DISSERTAÇÃO,.,SUL,SC,40500004,0,.,MESTRADO
2019,UNIVERSIDADE FEDERAL DE SANTA CATARINA,41001010049P9,ASSOCIAÇÃO ENTRE DURAÇÃO DO SONO E PADRÕES ALIMENTARES DE ESCOLARES DO 2º AO 5º ANOS DO MUNICÍPIO DE FLORIANÓPOLIS - SC,DISSERTAÇÃO,.,SUL,SC,40500004,0,.,MESTRADO
