word,tf_idf,freq,docs
reconstituida,0.03965860698651042,10,7
hiperlipidicos,0.03333351839564655,10,8
canada,0.027618780845950278,10,8
quilo,0.02843793854054779,10,9
policisticos,0.030712717694836016,10,9
higienicas,0.037941821313190315,10,9
caprinos,0.038032037861763235,10,7
auxiliem,0.03208232276026827,10,10
competicoes,0.03722994862153152,10,10
palmeira,0.02937410943280134,10,9
benigna,0.031946522218226574,10,9
hiperplasia,0.02855026303517963,10,9
mesenterica,0.03275469530857784,10,8
demandam,0.030182209830016887,10,10
reorganizacao,0.02675881549199861,10,10
amp,0.03466350400675401,10,6
numerica,0.0303077990862623,10,9
tradicoes,0.038054667164576964,10,9
neuropeptideo,0.029406562697092214,10,8
psicrotroficas,0.03197783785744996,10,9
crenca,0.03285187108286548,10,9
sustentam,0.0314139168234957,10,10
apresente,0.029130823492254373,10,10
intensificado,0.03413227204708062,10,10
eubacterium,0.02609084017827145,10,9
dedos,0.031510550305353616,10,9
indoxil,0.03206581419126184,10,8
autodeclararam,0.02972630640674647,10,10
compraria,0.039809852673714875,10,7
consistiram,0.02816431402232555,10,9
pista,0.03759825812870633,10,7
minoria,0.030767346844783997,10,10
uece,0.037382985761461957,10,8
contramovimento,0.037877835144881154,10,8
continentes,0.032286566012295764,10,9
cresil,0.029706484320768965,10,9
histopatologicos,0.033738410261024886,10,9
permitam,0.028312047770918176,10,10
ach,0.030851578895552918,10,8
estudavam,0.03006574864084389,10,9
lares,0.036451575866971675,10,7
transcricoes,0.03125471099259867,10,9
focada,0.030199176844656363,10,9
refrescos,0.03092164926270295,10,9
carbonilas,0.03601621232075698,10,7
reducing,0.02795060413823533,10,10
sulfonico,0.02856652521129179,10,10
eosinofilos,0.0300904375042385,10,8
selecionaram,0.029364615199714218,10,9
medial,0.03423241697126137,10,8
ameaca,0.03245705279102268,10,10
omissoes,0.04110203619027636,10,5
reconhecem,0.027061108694042005,10,10
urgente,0.027810375917030047,10,10
conjuntos,0.02474936324535802,10,8
atletico,0.03857291102054995,10,9
escassa,0.030487332514604247,10,10
modificadas,0.026390956188640274,10,9
pauta,0.03283799928944332,10,9
validas,0.03714216066603108,10,8
sperman,0.03127514339312299,10,10
panificados,0.028965192075092502,10,9
cromatografico,0.031626136563843374,10,9
pronunciada,0.03534465212826775,10,8
vistos,0.028916721367635102,10,10
prevaleceu,0.03058506718436583,10,10
antigos,0.02927482401168702,10,10
betacaroteno,0.038937357197519874,10,8
entendida,0.02852800418930197,10,10
microdados,0.029196063006942823,10,10
enfrentam,0.03066612966809954,10,10
alata,0.031341413219065514,10,9
ufal,0.04108092237831454,10,7
superestimaram,0.03368303855921365,10,7
formulado,0.02841527407314289,10,9
cetonicos,0.03531937686004995,10,7
ativados,0.030388734683979214,10,9
peroxissoma,0.025391037113019842,10,9
atribuicao,0.03435582628587808,10,10
irregulares,0.03125275424587447,10,8
emdi,0.027047102437764363,10,8
ocupam,0.02983358080079184,10,10
tudo,0.025231115615007675,10,10
neuronais,0.03025726938928683,10,8
desejos,0.02803307253163842,10,9
ganham,0.0290803750102595,10,9
cranio,0.028509520514784715,10,9
popularidade,0.029252378456878104,10,9
estrategicos,0.029945934847562028,10,8
flavonas,0.02830085040114575,10,6
biologia,0.035605686667554426,10,9
rotineiramente,0.02719575069324264,10,10
advindos,0.026985113609647886,10,10
reaproveitamento,0.03315875286919503,10,9
grama,0.027912762476421157,10,9
entraram,0.027376224797600705,10,10
periodico,0.027709882897476903,10,10
sazonais,0.033150043033269315,10,6
cardiacos,0.028422681569969556,10,10
consideramos,0.03084377898903095,10,10
deleterias,0.027895915244719724,10,10
homogeneizacao,0.02610396383090752,10,9
praticos,0.029285074315206445,10,9
conflict,0.029511471013268065,10,9
scales,0.029511471013268065,10,9
proteinuria,0.03152498640247822,10,8
sonda,0.026947277022444566,10,9
associated,0.028274796194256924,10,9
neurocomportamentais,0.030835905125248444,10,8
reagente,0.024210219821654923,10,9
incentivando,0.02574155193964214,10,10
hipertensivos,0.0303889348870967,10,10
comodos,0.035535279413966725,10,8
questiona,0.029235135841980106,10,9
alergias,0.03456841445941627,10,9
patologica,0.028001918210162156,10,10
planilhas,0.030235860771220494,10,10
predispoe,0.02922638837678873,10,10
reguladoras,0.030250498182551367,10,9
brindes,0.028944613061454596,10,8
diminuidos,0.026205332116578283,10,9
fosforilada,0.030912441776186468,10,8
comporta,0.02629540264479489,10,10
planejadas,0.02607084726894876,10,10
sintetizar,0.031395848466443076,10,10
facilitem,0.024582968002773705,10,10
biometricas,0.022654558579126457,10,9
prioritariamente,0.028880839120201576,10,9
morreram,0.03148291806512212,10,9
inconclusivos,0.029625117437330355,10,10
adquirido,0.028391441639081593,10,10
statistica,0.024122362211176276,10,10
ajustar,0.028440599686463404,10,10
patient,0.029781814587856222,10,9
nomeados,0.02471978144095574,10,10
ufpb,0.029444854282412617,10,9
hipolipemiante,0.030655352794509916,10,9
motivou,0.02721020382627679,10,10
quebra,0.03177209138526877,10,10
mecanico,0.02880379818085017,10,10
setimo,0.031137160967001278,10,9
inteira,0.02673577801127721,10,10
unicamp,0.02822289637735825,10,9
ultravioleta,0.02566414949647079,10,9
quentes,0.027057618993114558,10,9
originaria,0.02586602898586665,10,10
corrigir,0.03309149402550451,10,10
trials,0.02734255969658759,10,9
rosmarinus,0.026780435850183994,10,10
integrar,0.026484256404614517,10,10
consolidando,0.02966040307911641,10,10
comprovam,0.028830257520178752,10,10
equidade,0.027594861830518194,10,10
formico,0.027879021026685026,10,9
conseguinte,0.030068428146550166,10,10
melittus,0.027939680874691224,10,10
formular,0.02682231299352296,10,10
acreditamos,0.028143690957348,10,10
contribuira,0.02928903767909752,10,10
contemplados,0.027699898349729073,10,10
preconiza,0.025128851980167708,10,10
desconhecidos,0.02810236943117008,10,10
plot,0.02633896493785862,10,8
prioritario,0.02973301542173985,10,9
suicos,0.027355962287775884,10,9
ausentes,0.02560173987331826,10,10
pudessem,0.02707860185836136,10,10
atrelado,0.0269388966554592,10,9
average,0.026087335488030695,10,10
insere,0.02341306100418601,10,10
xxi,0.028404657947550215,10,10
respondeu,0.02935436144786191,10,10
recebe,0.0271901238928804,10,10
melhorado,0.025681368200955148,10,10
apropriadas,0.028838076316405496,10,10
nozes,0.029390097322378735,10,9
pontual,0.02678900316164146,10,10
aciclico,0.02452353351315399,10,10
restritivo,0.027227760092853368,10,10
dialitico,0.03160055361832868,10,9
colocam,0.024281881543821802,10,10
dita,0.029144945296185994,10,10
dispostos,0.028873191586330255,10,10
instituido,0.02560098963420418,10,10
desafiador,0.02531397812330666,10,10
canceres,0.028529492318166344,10,10
concordaram,0.024751405740165662,10,10
cursam,0.032187465228525974,10,9
prioridades,0.0244625707995116,10,10
colocacao,0.027884743208520375,10,10
estaria,0.02338742953644969,10,10
antiinflamatorio,0.022946922448628136,10,10
simplificado,0.026610967879643392,10,10
pudemos,0.02930034193325908,10,10
bibliograficas,0.029223799413252552,10,9
npr,0.029088166611032442,10,7
marginal,0.031788423144859995,10,9
acometidas,0.024850047281033752,10,10
severos,0.02734724419211799,10,10
contidos,0.02719198750450754,10,10
jesus,0.02412385962743974,10,9
antiga,0.02747991644162005,10,10
ruptura,0.027547470622154617,10,10
lachnospiraceae,0.02665559428295734,10,9
contatos,0.027327668022952986,10,10
aparece,0.027483688458084122,10,10
espectrometro,0.021129914705498184,10,10
aptos,0.024902798671715975,10,10
citar,0.025137792738044014,10,10
estudou,0.026887455559874356,10,10
demostram,0.0280584344096537,10,10
regulada,0.024091673640516932,10,10
general,0.024594388526336417,10,10
prejudicou,0.0242748542082797,10,10
colonia,0.027678740975352688,10,10
topicos,0.028131281677195665,10,10
interferon,0.025213206404623465,10,10
contribuintes,0.026799388841871993,10,10
despeito,0.024747993089245805,10,10
sintetizados,0.024988850354660218,10,10
perdido,0.02579483570986047,10,10
end,0.026870698471557708,10,10
citado,0.025058451966114913,10,10
ossos,0.025236377837870742,10,10
laser,0.02665788341108665,10,10
validos,0.0227877634410132,10,10
convite,0.023334047949930724,10,10
usuais,0.022490368415520632,10,9
define,0.027114468599785897,10,10
fornecido,0.024863966849654636,10,10
diminuido,0.02555815250095535,10,10
procurou,0.02648229244516211,10,10
inves,0.02452255795384116,10,10
diversa,0.024646496226625188,10,10
ocidentais,0.02466574913730805,10,10
microorganismos,0.027266136740692937,10,10
lopes,0.02735168273284906,10,10
onofre,0.02735168273284906,10,10
possuirem,0.028525621649438528,10,10
questionamento,0.02268957441889985,10,10
succinico,0.022681974708453803,10,10
articulacoes,0.02494849791487577,10,9
sanduiche,0.019458836173098334,10,10
healthy,0.021179346624232362,10,10
declarou,0.02455120493648056,10,10
percebidas,0.024992401727410556,10,10
predispostos,0.02499631218686315,10,10
discutidos,0.02294513613375606,10,10
mencionaram,0.020763395323502534,10,9
propuseram,0.02349478548409352,10,10
lauro,0.024793432657233865,10,10
wanderley,0.024793432657233865,10,10
somadas,0.023705752228910967,10,10
viii,0.02322951349517477,10,10
university,0.021476234730807103,10,10
multivariados,0.021889080779805732,10,10
examinada,0.021538597200180157,10,10
premissa,0.02288457179442234,10,10
diodos,0.01942105019625279,10,10
camara,0.02196676856354537,10,10
exerciam,0.021453843937407867,10,10
oeae,0.45383498818105844,9,1
shivam,0.4511809824022218,9,1
socos,0.4125772619827804,9,1
ioc,0.4018330624519788,9,1
lra,0.21734566333186273,9,2
gll,0.38005885709743814,9,1
nqga,0.35390801830633,9,1
oeo,0.35390801830633,9,1
isb,0.35069067268536336,9,1
ffm,0.3475312972557655,9,1
teanina,0.3459728609452015,9,1
otp,0.3428975466256886,9,1
htg,0.3383857368016664,9,1
htp,0.3383857368016664,9,1
hai,0.33690806982873334,9,1
granola,0.19447241487190575,9,2
plicometro,0.3311242403037766,9,1
rerta,0.3311242403037766,9,1
nodulo,0.1859179045167893,9,2
melados,0.32691503385923704,9,1
pediatras,0.22987644414712285,9,2
mbr,0.3188097024412394,9,1
irradiadas,0.31749772835711904,9,1
rucula,0.19010160882514077,9,3
gej,0.3098471806858632,9,1
pectinas,0.16479129770120032,9,2
fse,0.30494841103075077,9,1
bailarinas,0.1657989150289051,9,2
normoca,0.29788396907637044,9,1
sqt,0.29447308393427457,9,1
eags,0.29335341441361196,9,1
miopenia,0.0976233155443691,9,4
hcd,0.29113942638030166,9,1
hlf,0.15895242482294475,9,2
lasiodiplodia,0.2878804029506714,9,1
acupuntura,0.15200362137545848,9,2
biossurfactante,0.2868102155791075,9,1
cona,0.2857479555214072,9,1
passas,0.18343481055255534,9,2
lcp,0.2846935350213282,9,1
oemv,0.282607868098095,9,1
apap,0.28157645252109464,9,1
mind,0.27953604344485483,9,1
inaja,0.27953604344485483,9,1
fpc,0.23350483884362352,9,2
caffeq,0.2755426713956426,9,1
art,0.1513088710858912,9,2
cvp,0.2745620924938788,9,1
psicopatologia,0.11577095396238599,9,3
cnse,0.2726217243490457,9,1
phf,0.269762055911818,9,1
jpsp,0.1473358874727293,9,2
tilapia,0.18045405245148094,9,2
ephe,0.26242159180537394,9,1
