topic,FREX,BETA,GAMMA
6,"cho, prova, enxague, desempenho, caf","desempenho, cho, sobre, teste, forca",0.01118986117329967
5,"adipocitos, inguinal, edl, tam, mesenterico","animais, grupo, grupos, tecido_adiposo, maior",0.011106623672802806
28,"simbiotico, microbiota_intestinal, intestinal, disbiose, yacon","microbiota_intestinal, intestinal, grupo, grupos, microbiota",0.010714093245528147
59,"snp, snps, alelos, alelo, dm2","dm2, individuos, gene, doenca, polimorfismo",0.01049466175996875
25,"shr, doses, emax, paracetamol, cmg","tratamento, animais, grupo, grupos, dose",0.009956436110419022
7,"restricao_proteica, ilhotas, lphc, ovx, dieta_hipoproteica","grupo, grupos, dieta, ratos, ratas",0.009697825502532157
32,"dac, cortical, memoria, fluoxetina, labirinto","dac, animais, grupos, ansiedade, dias",0.00955392628730493
57,"pandemia, sars, cov, pandemia_covid_19, covid_19","covid_19, pandemia_covid_19, durante, pandemia, estudo",0.009516182507266562
4,"jogadores, jogos, jogo, sessao, treino","exercicio, apos, exercicio_fisico, intensidade, estudo",0.009099499454690416
42,"oleo_peixe, suplementacao, capsulas, efeitos_suplementacao, placebo","suplementacao, placebo, grupo, pacientes, pcr",0.008973553252141756
44,"mcf, ecv, propolis, cancer_mama, tumorais","celulas, cancer_mama, propolis, tratamento, cancer",0.008794922234522629
41,"nanoparticulas, encapsulacao, zeta, microparticulas, particulas","oleo, proteina, quanto, nanoparticulas, apresentaram",0.007970021378249077
46,"caprino, vaca, leite, leite_humano, lactentes","leite, lactentes, formulas, leite_humano, vaca",0.007600272380331529
60,"placenta, mir, placentario, femeas, let","expressao, mir, femeas, expressao_genica, aumento",0.007394100719593895
16,"tocoferol, caroteno, agpi, folico, dha","acidos_graxos, vitamina, concentracoes, acido, 100g",0.0071718119160697705
23,"kefir, resistido, treinado, msg, treinamento_fisico","kefir, grupos, treinamento, animais, semanas",0.00701735745185794
40,"chia, sorgo, brs, feijao, feijoes","chia, sorgo, feijao, farinha, ferro",0.006774434489054125
13,"hiperalgesia, parkin, dor, contracao, p2x3","muscular, dor, hiperalgesia, receptores, processo",0.005953908136338679
1,"mthfr, metilacao, hipertensas, c677t, citrulina","metilacao, niveis, gene, perfil, mthfr",0.005592184986277385
55,"piperina, mdr, h2o2, endoteliais, linhagens","celulas, celular, expressao, efeito, piperina",0.005549766025359679
50,"uva, vinhos, polifenois, gergelim, tinto","polifenois, uva, residuos, totais, alimentos",0.004860689793582561
48,"dm1, silico, s6ks, s6k2, ittp","dm1, diabetes, agrotoxicos, estudo, cancer",0.004788629551307518
65,"amargo, gostos, gustativa, basicos, acerto","teste, individuos, reconhecimento, deteccao, amargo",9.851356626934028e-4
