topic,FREX,BETA,GAMMA
52,"ean, profissionais, gestores, educacao_alimentar_nutricional, nutricionistas","acoes, saude, profissionais, nutricao, sobre",0.03375283730590055
2,"adolescentes, excesso_peso, meninas, meninos, escolares","adolescentes, excesso_peso, anos, obesidade, escolares",0.030935351752554966
12,"padroes_alimentares, aup, ultraprocessados, padrao_alimentar, consumo_alimentos","consumo, alimentos, consumo_alimentar, consumo_alimentos, ultraprocessados",0.030848403741806557
56,"has, sintomas_depressivos, depressao, alcool, sintomas_ansiedade","prevalencia, associacao, mulheres, anos, maior",0.030446780982639338
31,"risco_cardiovascular, sindrome_metabolica, hdl_c, ldl_c, pressao_arterial","pressao_arterial, colesterol_total, triglicerideos, risco, perfil_lipidico",0.028101151003683957
63,"criancas, alimentacao_complementar, crianca, aleitamento_materno, infantil","criancas, meses, idade, crianca, maes",0.026989399192835415
22,"comensalidade, sisan, sentidos, significados, saberes","alimentacao, campo, sobre, pesquisa, estudo",0.02536638518661615
36,"pnae, alimentacao_escolar, programa_nacional_alimentacao_escolar, agricultura_familiar, cardapios","alimentos, alimentacao_escolar, pnae, cardapios, refeicoes",0.023701480127165737
17,"inseguranca_alimentar, familias, pbf, capita, domicilios","inseguranca_alimentar, familias, situacao, renda, domicilios",0.02332056846158403
61,"cirurgia_bariatrica, intervencao, cirurgia, operatorio, grupo_intervencao","intervencao, apos, reducao, meses, grupos",0.022585861845257047
9,"glim, asg, uti, admissao, internacao","pacientes, desnutricao, mortalidade, tempo, internacao",0.021968376404661188
27,"iid, angulo_fase, roc, tav, braco","imc, indice, composicao_corporal, correlacao, valores",0.02144663254801978
3,"lilacs, revisao_sistematica, pubmed, scopus, science","estudos, artigos, revisao_sistematica, dados, revisao",0.021296532472991327
51,"micronutrientes, macronutrientes, energia, carboidratos, nutrientes","consumo, ingestao, dieta, energia, consumo_alimentar",0.021273217829917826
30,"dcnt, paises, custos, doencas_cronicas_transmissiveis, temporal","saude, brasil, populacao, paises, dcnt",0.020663828114910906
43,"polpa, cerrado, fruto, xique, extratos","polpa, atividade_antioxidante, totais, compostos_fenolicos, frutos",0.020589513712093728
24,"idade_gestacional, gpg, trimestre, gestantes, pre_natal","gestantes, gestacao, mulheres, gestacional, pre_natal",0.020533545571200736
64,"paes, textura, aceitabilidade, tecnologicas, aceitacao","farinha, formulacoes, aceitacao, produtos, adicao",0.01995516078370188
54,"prole, filhotes, perinatal, lactacao, desmame","dieta, dias, prole, grupo, lactacao",0.019741377110337893
49,"imagem_corporal, transtornos_alimentares, comportamentos_alimentares, comer, insatisfacao_corporal","percepcao, sobre, imagem_corporal, comer, relacao",0.01947078769384837
26,"sarcopenia, idosos, dinapenia, fpm, idosas","idosos, sarcopenia, massa_muscular, anos, idade",0.019370580881374073
18,"adiponectina, leptina, obesidade, adipocinas, sobrepeso","obesidade, mulheres, leptina, sobrepeso, grupo",0.018422144516616255
10,"anemia, vitamina_d, hipovitaminose_d, hepcidina, deficiencia","vitamina_d, ferro, deficiencia, anemia, niveis",0.017776992378368366
47,"especialistas, instrumento, ivc, confiabilidade, validacao_conteudo","instrumento, itens, avaliacao, validacao, validade",0.017542332273211902
20,"dialise, hemodialise, doenca_renal_cronica, drc, transplante","pacientes, drc, doenca, individuos, grupo",0.017484344019739376
45,"seguranca_alimentos, manipuladores, contaminacao, boas, manipuladores_alimentos","amostras, praticas, alimentos, risco, contaminacao",0.01680398698007009
15,"rotulos, rotulagem, alimentos_industrializados, ingredientes, receitas","alimentos, produtos, consumidores, sobre, sodio",0.01652121408163078
35,"7nachr, sinalizacao, gpr120, hipotalamo, lps","aumento, insulina, animais, camundongos, via",0.01594371032869253
58,"ultrassom, secagem, extracao, termossonicacao, temperatura","extracao, tempo, temperatura, ultrassom, amostras",0.015871245419090598
38,"oeov, biofilme, cim, oero, antracnose","isolados, cepas, cim, bacterias, crescimento",0.015758561640061952
39,"qualidade_vida, qvrs, disfagia, dominios, whoqol","qualidade_vida, pacientes, tratamento, estado_nutricional, sintomas",0.015576203411866572
34,"qualidade_dieta, pontuacao, iqd, pontuacoes, ias","dieta, pontuacao, qualidade_dieta, alimentacao, qualidade",0.015433097304339496
53,"dmo, equacoes, tmb, dxa, ger","composicao_corporal, equacoes, dmo, dxa, estudo",0.01493232065396805
62,"sono, trabalhadores, estudantes_universitarios, universitarios, turno","sono, trabalho, trabalhadores, qualidade, estudantes",0.014889051953949555
33,"exaustao, cafeina, pla, atletas, corredores","atletas, teste, cafeina, placebo, apos",0.014178156564746696
37,"cha_verde, stz, diabetico, diabeticos, dieta_hiperlipidica","grupo, grupos, animais, dieta_hiperlipidica, dieta",0.0137106263419455
29,"linhaca, oleo_coco, oleo, virgem, oleo_chia","dieta, oleo, grupo, acidos_graxos, grupos",0.01324404035076185
11,"entorno, ambiente_alimentar, estabelecimentos, desertos, cantinas","estabelecimentos, ambiente_alimentar, alimentos, ambiente, maior",0.013219588243344184
19,"prandial, ccm, ages, wpc, voluntarias","consumo, apos, estudo, concentracoes, efeito",0.01293834668097339
8,"fermentacao, probioticas, casei, colonica, paracasei","fermentacao, durante, apos, atividade, viabilidade",0.012620576974776244
21,"catd, sod, gpx, cat, estresse_oxidativo","estresse_oxidativo, atividade, antioxidantes, grupo, biomarcadores",0.012603495195048935
14,"tomate, coco, bico, coccao, grao","teor, amostras, cafe, maior, teores",0.011416294272503803
